,Uniq Id,Crawl Timestamp,Billing Uniq Id,Rating,Review Title,Review Rating,Review Date,User Id,Brand,Category,Sub Category,Product Description,Asin,Url,Review Content,Verified Purchase,Helpful Review Count,Manufacturer Response
0,11111111111111111111111111111AAA,2020-03-17 02:34:02 ,d6ac91ff77432caba41ca28e2c1cc00c,,Try himself price step.,5.0,"May 01, 2019",AAA1111111111111111111111AAA,Talenti,Beauty & Personal Care,Frozen,"Our Salted Caramel Truffle is an ode to our best-selling Sea Salt Caramel Gelato. We started with a layer of our Sea Salt Caramel, added a layer of chocolatey cookies for a delicious crunch and created a third layer with our dulce de leche, added more Sea Salt Gelato and finally finished with a fifth layer of chocolatey caramel truffles. Because we used all of the same ingredients from our Talenti Sea Salt Caramel PLUS more, This Layers is the ultimate decadence and a caramel lovers dream. At Talenti, we believe the best process and highest quality ingredients results in the best tasting gelato and sorbetto. We start with fresh milk and cream and make each flavor from scratch with the highest-quality ingredients sourced from all around the world. We then use an old world process that involves slow cooking our ingredients in smaller batches to bring out unique flavors for a one-of-a-kind dessert. We package our gelato in clear, BPA-free jars to showcase the beautiful gelato inside. When you’re done, recycle or reuse* the jar anyway you like. In addition to Talenti Gelato Layers, Talenti has Dairy-Free Sorbettos, USDA Certified Organic Gelato, flavors that are gluten-free and/or vegan, Gelato with less sugar and our classic Gelato. All of our gelatos are made with non-GMO sourced ingredients.** Try all of our flavors and discover why Talenti is Crafted for Taste, Clearly Talenti. *Talenti jars are not microwave or dishwasher safe. Check out #Pintcycling on Instagram for reuse ideas. ** All ingredients in this product have been evaluated by Where Food Comes From, Inc., to our Non-GMO policy. Learn more at www.talentigelato.com/nongmo",B07NQN58ZC,https://miller.com/tag/search/index.asp,"Create across name dream rise. Beat meet no anyone final main send.
Away foot into than. Speak local memory about.
Pull his tend it. Office realize rock financial physical.",Verified Purchase,0,
1,11111111111111111111111111111AAB,2020-03-17 02:34:42 ,d6ac91ff77432caba41ca28e2c1cc00c,,Better staff morning series morning alone along.,5.0,"November 26, 2019",AAA1111111111111111111111AAB,SheaMoisture,Beauty & Personal Care,Skin Care,"Gently cleanse and hydrate aging skin with this sulfate-free bar soap. Vitamin rich Olive and Avocado Oils blend together to nourish and soften, while Green Tea helps protect skin. Our Story: Sofi Tucker started selling Shea Nuts at the village market in Bonthe, Sierra Leone in 1912. By age 19, the widowed mother of four was selling Shea Butter, African Black Soap and her homemade hair and skin preparations all over the countryside. Sofi Tucker was our Grandmother and SheaMoisture is her legacy. With this purchase you help empower disadvantaged women to realize a brighter, healthier future. Ethically Traded Ingredients Sustainably Produced. Pioneering Community Commerce and Fair Trade Since 1912. Tested on the Tucker family for four generations. Never on animals.",B07NQN58ZC,http://www.tucker.biz/tag/app/app/homepage.htm,"Admit on page example she interview. Accept suggest partner national Mr subject open. Expect physical simply.
Pm add do race condition special into. Knowledge morning away piece rich sound here hot.",Verified Purchase,0,
2,11111111111111111111111111111AAC,2020-03-17 02:38:48 ,12739c2877dd94d9070430e34f17ff0d,,Author modern town.,5.0,"April 09, 2020",AAA1111111111111111111111AAC,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,https://boyer.com/faq.html,Magazine everybody realize foot. Worker true end special against newspaper. During really could seven. Article international mother president more.,Verified Purchase,0,
3,11111111111111111111111111111AAD,2020-03-17 02:39:23 ,5611e8c78e25af3e41d56b0f3f565a23,,Democrat democratic stop better.,5.0,"October 22, 2019",AAA1111111111111111111111AAD,SheaMoisture,Beauty & Personal Care,Skin Care,"Gently cleanse and hydrate aging skin with this sulfate-free bar soap. Vitamin rich Olive and Avocado Oils blend together to nourish and soften, while Green Tea helps protect skin. Our Story: Sofi Tucker started selling Shea Nuts at the village market in Bonthe, Sierra Leone in 1912. By age 19, the widowed mother of four was selling Shea Butter, African Black Soap and her homemade hair and skin preparations all over the countryside. Sofi Tucker was our Grandmother and SheaMoisture is her legacy. With this purchase you help empower disadvantaged women to realize a brighter, healthier future. Ethically Traded Ingredients Sustainably Produced. Pioneering Community Commerce and Fair Trade Since 1912. Tested on the Tucker family for four generations. Never on animals.",B007O0GQPC,http://www.mcdonald-nixon.com/search/,"Education suddenly sure tonight. Particularly movement site investment focus.
Lead community itself base. Play author tax simply. Baby what sense ask oil bill we.",Verified Purchase,0,
4,11111111111111111111111111111AAE,2020-03-17 02:27:37 ,d6ac91ff77432caba41ca28e2c1cc00c,,Person form job upon.,5.0,"March 02, 2020",AAA1111111111111111111111AAE,SheaMoisture,Beauty & Personal Care,Frozen,"Gently cleanse and hydrate aging skin with this sulfate-free bar soap. Vitamin rich Olive and Avocado Oils blend together to nourish and soften, while Green Tea helps protect skin. Our Story: Sofi Tucker started selling Shea Nuts at the village market in Bonthe, Sierra Leone in 1912. By age 19, the widowed mother of four was selling Shea Butter, African Black Soap and her homemade hair and skin preparations all over the countryside. Sofi Tucker was our Grandmother and SheaMoisture is her legacy. With this purchase you help empower disadvantaged women to realize a brighter, healthier future. Ethically Traded Ingredients Sustainably Produced. Pioneering Community Commerce and Fair Trade Since 1912. Tested on the Tucker family for four generations. Never on animals.",B007O0GQPC,http://www.smith-stewart.info/login/,Entire foot prevent training. Into front discuss operation stand forward structure program. Pay case tree good worry heart range.,Verified Purchase,0,
5,11111111111111111111111111111AAF,2020-03-17 02:33:26 ,d6ac91ff77432caba41ca28e2c1cc00c,,Ball just fly result issue six.,5.0,"May 06, 2019",AAA1111111111111111111111AAF,SheaMoisture,Beauty & Personal Care,Skin Care,"Our Salted Caramel Truffle is an ode to our best-selling Sea Salt Caramel Gelato. We started with a layer of our Sea Salt Caramel, added a layer of chocolatey cookies for a delicious crunch and created a third layer with our dulce de leche, added more Sea Salt Gelato and finally finished with a fifth layer of chocolatey caramel truffles. Because we used all of the same ingredients from our Talenti Sea Salt Caramel PLUS more, This Layers is the ultimate decadence and a caramel lovers dream. At Talenti, we believe the best process and highest quality ingredients results in the best tasting gelato and sorbetto. We start with fresh milk and cream and make each flavor from scratch with the highest-quality ingredients sourced from all around the world. We then use an old world process that involves slow cooking our ingredients in smaller batches to bring out unique flavors for a one-of-a-kind dessert. We package our gelato in clear, BPA-free jars to showcase the beautiful gelato inside. When you’re done, recycle or reuse* the jar anyway you like. In addition to Talenti Gelato Layers, Talenti has Dairy-Free Sorbettos, USDA Certified Organic Gelato, flavors that are gluten-free and/or vegan, Gelato with less sugar and our classic Gelato. All of our gelatos are made with non-GMO sourced ingredients.** Try all of our flavors and discover why Talenti is Crafted for Taste, Clearly Talenti. *Talenti jars are not microwave or dishwasher safe. Check out #Pintcycling on Instagram for reuse ideas. ** All ingredients in this product have been evaluated by Where Food Comes From, Inc., to our Non-GMO policy. Learn more at www.talentigelato.com/nongmo",B007O0GQPC,https://www.lopez.com/posts/main/author.htm,Individual card teacher good. Certain property collection likely guess reality.,Verified Purchase,0,
6,11111111111111111111111111111AAG,2020-03-17 02:29:00 ,d6ac91ff77432caba41ca28e2c1cc00c,,Partner him create remain.,3.0,"November 26, 2019",AAA1111111111111111111111AAG,SheaMoisture,Grocery & Gourmet Food,Skin Care,"Our Salted Caramel Truffle is an ode to our best-selling Sea Salt Caramel Gelato. We started with a layer of our Sea Salt Caramel, added a layer of chocolatey cookies for a delicious crunch and created a third layer with our dulce de leche, added more Sea Salt Gelato and finally finished with a fifth layer of chocolatey caramel truffles. Because we used all of the same ingredients from our Talenti Sea Salt Caramel PLUS more, This Layers is the ultimate decadence and a caramel lovers dream. At Talenti, we believe the best process and highest quality ingredients results in the best tasting gelato and sorbetto. We start with fresh milk and cream and make each flavor from scratch with the highest-quality ingredients sourced from all around the world. We then use an old world process that involves slow cooking our ingredients in smaller batches to bring out unique flavors for a one-of-a-kind dessert. We package our gelato in clear, BPA-free jars to showcase the beautiful gelato inside. When you’re done, recycle or reuse* the jar anyway you like. In addition to Talenti Gelato Layers, Talenti has Dairy-Free Sorbettos, USDA Certified Organic Gelato, flavors that are gluten-free and/or vegan, Gelato with less sugar and our classic Gelato. All of our gelatos are made with non-GMO sourced ingredients.** Try all of our flavors and discover why Talenti is Crafted for Taste, Clearly Talenti. *Talenti jars are not microwave or dishwasher safe. Check out #Pintcycling on Instagram for reuse ideas. ** All ingredients in this product have been evaluated by Where Food Comes From, Inc., to our Non-GMO policy. Learn more at www.talentigelato.com/nongmo",B07NQN58ZC,https://jones-davis.org/index.html,"Usually sense those set black whom. College community man indeed call. Society up point policy.
Stay kind poor production explain.",Verified Purchase,One person found this helpful Helpful,
7,11111111111111111111111111111AAH,2020-03-17 02:42:19 ,12739c2877dd94d9070430e34f17ff0d,,Enough better worker final well program then.,5.0,"April 28, 2020",AAA1111111111111111111111AAH,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B07WDL82Z4,http://www.camacho-james.net/terms/,"Many here hospital good. Page too house.
Old fear people strategy everything force sit. Imagine fast report first plan election surface.",Verified Purchase,0,
8,11111111111111111111111111111AAI,2020-03-17 02:27:32 ,12739c2877dd94d9070430e34f17ff0d,,Republican rich ahead current finish.,5.0,"August 06, 2019",AAA1111111111111111111111AAI,SheaMoisture,Grocery & Gourmet Food,Skin Care,"Schmidt’s Here + Now Baking Soda-Free Natural Deodorant with Activated Charcoal, created in partnership with Justin Bieber, uses innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorant never works, so we made one that does. Schmidt’s Sensitive Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Our certified vegan deodorants are also certified cruelty-free. This Schmidt’s sensitive deodorant is gender neutral and has an unforgettable, natural fragrance of a mix of spicy citrus and warm florals, anchored by deep and sophisticated woodsy base notes. Our deodorants formulated for sensitive skin are made without baking soda and utilize magnesium to help neutralize odor for natural and refreshing protection. Schmidt’s sensitive deodorant is formulated for those seeking effective and natural protection that is gentle on skin. Our deodorants require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply to your dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin",B07WDL82Z4,https://www.simpson.com/privacy.html,Draw four everyone. Seem short per understand individual however. Where Mrs which serve.,Verified Purchase,0,
9,11111111111111111111111111111AAJ,2020-03-17 02:33:50 ,c697dc43961526785292107b91a639e1,,Certainly collection seat risk respond memory.,4.0,"February 29, 2020",AAA1111111111111111111111AAJ,Schmidt's Deodorant,Beauty & Personal Care,Personal Care,"Schmidt’s natural deodorant formulas use innovative ingredients derived from plants and minerals to help effectively neutralize odor and keep you fresh. We heard that natural deodorants never work, so we made one that does. Schmidt’s Signature Stick deodorants are free of aluminum salts, propylene glycol, parabens, phthalates, and contain no artificial fragrances or coloring. Schmidt's deodorants are made with plant-based oils and butters like coconut oil, jojoba seed oil, and shea butter, as well as vitamin E so you can smell good and feel good. Our certified vegan deodorants are also certified cruelty free. This Schmidt’s Charcoal + Magnesium gender neutral signature deodorant has a natural fragrance of freshly fallen rain. The scent variant is made with activated charcoal and magnesium, keeping you smelling fresh and feeling great. Our Charcoal + Magnesium activated charcoal deodorant formula uses baking soda and is enriched with magnesium to help neutralize odor for natural and refreshing protection and the non-greasy and non-sticky feel allows the deodorant to be easily absorbed. All of our Schmidt’s natural deodorant sticks require only a small amount of application for great results. To use, hold the product momentarily to skin to soften on contact with body heat. Gently apply a small amount to dry, clean underarms to keep you feeling fresh all day. 1-2 swipes for application is all you need. Do not apply to irritated or damaged skin.",B071YYMZ19,http://powell.com/author/,Then white lawyer thing heavy type major. She yeah sell most. Court trade skill a southern.,Verified Purchase,2,
